"filename", "language", "Lua", "HTML", "JavaScript", "CSS", "JSON", "XML", "vue", "Markdown", "comment", "blank", "total"
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\d-garage\client\client.lua", "Lua", 592, 0, 0, 0, 0, 0, 0, 0, 23, 156, 771
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\d-garage\client\client_vehicle_despawn.lua", "Lua", 124, 0, 0, 0, 0, 0, 0, 0, 63, 35, 222
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\d-garage\config.lua", "Lua", 392, 0, 0, 0, 0, 0, 0, 0, 118, 21, 531
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\d-garage\fxmanifest.lua", "Lua", 21, 0, 0, 0, 0, 0, 0, 0, 2, 4, 27
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\d-garage\html\garage.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\d-garage\html\index.html", "HTML", 0, 70, 0, 0, 0, 0, 0, 0, 1, 6, 77
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\d-garage\html\script.js", "JavaScript", 0, 0, 309, 0, 0, 0, 0, 0, 17, 91, 417
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\d-garage\html\style.css", "CSS", 0, 0, 0, 249, 0, 0, 0, 0, 1, 41, 291
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\d-garage\server\server.lua", "Lua", 115, 0, 0, 0, 0, 0, 0, 0, 3, 46, 164
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\d-garage\server\server_vehicle_despawn.lua", "Lua", 225, 0, 0, 0, 0, 0, 0, 0, 46, 62, 333
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\d-locksystem\client.lua", "Lua", 111, 0, 0, 0, 0, 0, 0, 0, 29, 34, 174
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\d-locksystem\doors.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\d-locksystem\fxmanifest.lua", "Lua", 23, 0, 0, 0, 0, 0, 0, 0, 2, 6, 31
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\d-locksystem\html\index.html", "HTML", 0, 79, 0, 0, 0, 0, 0, 0, 27, 5, 111
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\d-locksystem\html\script.js", "JavaScript", 0, 0, 240, 0, 0, 0, 0, 0, 12, 60, 312
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\d-locksystem\html\style.css", "CSS", 0, 0, 0, 220, 0, 0, 0, 0, 1, 37, 258
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\d-locksystem\menu.lua", "Lua", 442, 0, 0, 0, 0, 0, 0, 0, 63, 101, 606
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\d-locksystem\server.lua", "Lua", 75, 0, 0, 0, 0, 0, 0, 0, 13, 24, 112
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\pipou-loading\fxmanifest.lua", "Lua", 12, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\pipou-loading\index.html", "HTML", 0, 69, 0, 0, 0, 0, 0, 0, 0, 14, 83
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\pipou-loading\keks.css", "CSS", 0, 0, 0, 150, 0, 0, 0, 0, 0, 22, 172
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\pipou-loading\script.js", "JavaScript", 0, 0, 32, 0, 0, 0, 0, 0, 5, 6, 43
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\pipoumenu\client.lua", "Lua", 43, 0, 0, 0, 0, 0, 0, 0, 0, 27, 70
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\pipoumenu\fxmanifest.lua", "Lua", 15, 0, 0, 0, 0, 0, 0, 0, 2, 4, 21
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\pipoumenu\html\index.html", "HTML", 0, 82, 0, 0, 0, 0, 0, 0, 10, 8, 100
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\pipoumenu\html\script.js", "JavaScript", 0, 0, 180, 0, 0, 0, 0, 0, 27, 43, 250
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\pipoumenu\html\style.css", "CSS", 0, 0, 0, 218, 0, 0, 0, 0, 8, 36, 262
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\qb-government\client\main.lua", "Lua", 133, 0, 0, 0, 0, 0, 0, 0, 4, 21, 158
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\qb-government\config.lua", "Lua", 7, 0, 0, 0, 0, 0, 0, 0, 41, 5, 53
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\qb-government\fxmanifest.lua", "Lua", 22, 0, 0, 0, 0, 0, 0, 0, 10, 6, 38
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\qb-government\locales\ar.lua", "Lua", 198, 0, 0, 0, 0, 0, 0, 0, 0, 2, 200
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\qb-government\locales\da.lua", "Lua", 198, 0, 0, 0, 0, 0, 0, 0, 0, 2, 200
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\qb-government\locales\de.lua", "Lua", 198, 0, 0, 0, 0, 0, 0, 0, 0, 2, 200
